Year,Year ending,Offence Division,Offence Subdivision,Offence Subgroup,Incidents Recorded,"Rate per 100,000 population"
2014,December,A Crimes against the person,A30 Sexual offences,A32 Indecent assault," 2,718 ", 46.1 
2014,December,A Crimes against the person,A30 Sexual offences,A33 Incest, 200 , 3.4 
2014,December,A Crimes against the person,A30 Sexual offences,A34 Sexual offences against children, 507 , 8.6 
2014,December,A Crimes against the person,A30 Sexual offences,A39 Other sexual offences, 61 , 1.0 
2014,December,A Crimes against the person,A40 Abduction and related offences,A41 Abduction, 111 , 1.9 
2014,December,A Crimes against the person,A40 Abduction and related offences,A42 False imprisonment, 241 , 4.1 
2014,December,A Crimes against the person,A50 Robbery,A51 Aggravated robbery," 1,591 ", 27.0 
2014,December,A Crimes against the person,A50 Robbery,A52 Non-Aggravated robbery, 151 , 2.6 
2014,December,A Crimes against the person,A60 Blackmail and extortion,A61 Blackmail, 76 , 1.3 
2014,December,A Crimes against the person,A60 Blackmail and extortion,A62 Extortion, 46 , 0.8 
2014,December,A Crimes against the person,"A70 Stalking, harassment and threatening behaviour",A711 FV Stalking, 957 , 16.2 
2014,December,A Crimes against the person,"A70 Stalking, harassment and threatening behaviour",A712 Non-FV Stalking, 812 , 13.8 
2014,December,A Crimes against the person,"A70 Stalking, harassment and threatening behaviour",A721 FV Harassment and private nuisance, 253 , 4.3 
2014,December,A Crimes against the person,"A70 Stalking, harassment and threatening behaviour",A722 Non-FV Harassment and private nuisance, 400 , 6.8 
2014,December,A Crimes against the person,"A70 Stalking, harassment and threatening behaviour",A731 FV Threatening behaviour," 1,771 ", 30.0 
2014,December,A Crimes against the person,"A70 Stalking, harassment and threatening behaviour",A732 Non-FV Threatening behaviour," 1,553 ", 26.3 
2014,December,A Crimes against the person,A80 Dangerous and negligent acts endangering people,A81 Dangerous driving, 385 , 6.5 
2014,December,A Crimes against the person,A80 Dangerous and negligent acts endangering people,A82 Neglect or ill treatment of people, 68 , 1.2 
2014,December,A Crimes against the person,A80 Dangerous and negligent acts endangering people,A83 Throw or discharge object endangering people, 654 , 11.1 
2014,December,A Crimes against the person,A80 Dangerous and negligent acts endangering people,A89 Other dangerous or negligent acts endangering people," 1,809 ", 30.7 
2014,December,B Property and deception offences,B10 Arson,B11 Cause damage by fire," 2,739 ", 46.5 
2014,December,B Property and deception offences,B10 Arson,B12 Cause a bushfire, 98 , 1.7 
2014,December,B Property and deception offences,B10 Arson,B19 Other fire related offences, 503 , 8.5 
2014,December,B Property and deception offences,B20 Property damage,B21 Criminal damage," 33,083 ", 561.2 
2014,December,B Property and deception offences,B20 Property damage,B22 Graffiti," 2,935 ", 49.8 
2014,December,B Property and deception offences,B20 Property damage,B29 Other property damage offences, 254 , 4.3 
2014,December,B Property and deception offences,B30 Burglary/Break and enter,B311 Residential aggravated burglary," 2,032 ", 34.5 
2014,December,B Property and deception offences,B30 Burglary/Break and enter,B312 Non-residential aggravated burglary, 70 , 1.2 
2014,December,B Property and deception offences,B30 Burglary/Break and enter,B319 Unknown aggravated burglary, 17 , 0.3 
2014,December,B Property and deception offences,B30 Burglary/Break and enter,B321 Residential non-aggravated burglary," 27,788 ", 471.4 
2014,December,B Property and deception offences,B30 Burglary/Break and enter,B322 Non-residential non-aggravated burglary," 13,332 ", 226.2 
2014,December,B Property and deception offences,B30 Burglary/Break and enter,B329 Unknown non-aggravated burglary, 219 , 3.7 
2014,December,B Property and deception offences,B40 Theft,B41 Motor vehicle theft," 14,427 ", 244.7 
2014,December,B Property and deception offences,B40 Theft,B42 Steal from a motor vehicle," 46,501 ", 788.8 
2014,December,B Property and deception offences,B40 Theft,B43 Steal from a retail store," 17,671 ", 299.8 
2014,December,B Property and deception offences,B40 Theft,B44 Theft of a bicycle," 5,123 ", 86.9 
2014,December,B Property and deception offences,B40 Theft,B45 Receiving or handling stolen goods," 4,903 ", 83.2 
2014,December,B Property and deception offences,B40 Theft,B46 Fare evasion, 53 , 0.9 
2014,December,B Property and deception offences,B40 Theft,B49 Other theft," 37,121 ", 629.7 
2014,December,B Property and deception offences,B50 Deception,B51 Forgery and counterfeiting," 1,857 ", 31.5 
2014,December,B Property and deception offences,B50 Deception,B52 Possess equipment to make false instrument, 6 , 0.1 
2014,December,B Property and deception offences,B50 Deception,B53 Obtain benefit by deception," 13,663 ", 231.8 
2014,December,B Property and deception offences,B50 Deception,B54 State false information, 585 , 9.9 
2014,December,B Property and deception offences,B50 Deception,B55 Deceptive business practices, 14 , 0.2 
2014,December,B Property and deception offences,B50 Deception,B56 Professional malpractice and misrepresentation, 67 , 1.1 
2014,December,B Property and deception offences,B50 Deception,B59 Other deception offences, 35 , 0.6 
2014,December,B Property and deception offences,B60 Bribery,B61 Bribery of officials, 14 , 0.2 
2014,December,C Drug offences,C10 Drug dealing and trafficking,C11 Drug dealing, 13 , 0.2 
2014,December,C Drug offences,C10 Drug dealing and trafficking,C12 Drug trafficking," 2,814 ", 47.7 
2014,December,C Drug offences,C20 Cultivate or manufacture drugs,C21 Cultivate drugs, 776 , 13.2 
2014,December,C Drug offences,C20 Cultivate or manufacture drugs,C23 Possess drug manufacturing equipment or precursor, 313 , 5.3 
2014,December,C Drug offences,C30 Drug use and possession,C31 Drug use, 743 , 12.6 
2014,December,C Drug offences,C30 Drug use and possession,C32 Drug possession," 9,576 ", 162.4 
2014,December,C Drug offences,C90 Other drug offences,C99 Other drug offences, 20 , 0.3 
2014,December,D Public order and security offences,D10 Weapons and explosives offences,D11 Firearms offences," 1,723 ", 29.2 
2014,December,D Public order and security offences,D10 Weapons and explosives offences,D12 Prohibited and controlled weapons offences," 5,534 ", 93.9 
2014,December,D Public order and security offences,D10 Weapons and explosives offences,D13 Explosives offences, 182 , 3.1 
2014,December,D Public order and security offences,D20 Disorderly and offensive conduct,D21 Riot and affray, 288 , 4.9 
2014,December,D Public order and security offences,D20 Disorderly and offensive conduct,D22 Drunk and disorderly in public," 11,000 ", 186.6 
2014,December,D Public order and security offences,D20 Disorderly and offensive conduct,D23 Offensive conduct," 4,224 ", 71.7 
2014,December,D Public order and security offences,D20 Disorderly and offensive conduct,D24 Offensive language, 892 , 15.1 
2014,December,D Public order and security offences,D20 Disorderly and offensive conduct,D25 Criminal intent, 463 , 7.9 
2014,December,D Public order and security offences,D20 Disorderly and offensive conduct,D26 Disorderly conduct, 296 , 5.0 
2014,December,D Public order and security offences,D30 Public nuisance offences,D31 Privacy offences, 31 , 0.5 
2014,December,D Public order and security offences,D30 Public nuisance offences,D32 Hoaxes, 113 , 1.9 
2014,December,D Public order and security offences,D30 Public nuisance offences,D33 Begging, 117 , 2.0 
2014,December,D Public order and security offences,D30 Public nuisance offences,D35 Improper movement on public or private space, 969 , 16.4 
2014,December,D Public order and security offences,D30 Public nuisance offences,D36 Other public nuisance offences, 68 , 1.2 
2014,December,D Public order and security offences,D40 Public security offences,D43 Hacking, 28 , 0.5 
2014,December,D Public order and security offences,D40 Public security offences,D49 Other public security offences, 1 , 0.0 
2014,December,E Justice procedures offences,E10 Justice procedures,E11 Escape custody, 91 , 1.5 
2014,December,E Justice procedures offences,E10 Justice procedures,E13 Resist or hinder officer," 1,148 ", 19.5 
2014,December,E Justice procedures offences,E10 Justice procedures,E14 Pervert the course of justice or commit perjury, 515 , 8.7 
2014,December,E Justice procedures offences,E10 Justice procedures,E15 Prison regulation offences, 524 , 8.9 
2014,December,E Justice procedures offences,E10 Justice procedures,E19 Other justice procedures offences, 718 , 12.2 
2014,December,E Justice procedures offences,E20 Breaches of orders,E21 Breach family violence order," 9,770 ", 165.7 
2014,December,E Justice procedures offences,E20 Breaches of orders,E22 Breach intervention order," 1,251 ", 21.2 
2014,December,E Justice procedures offences,E20 Breaches of orders,E23 Breach bail conditions," 14,159 ", 240.2 
2014,December,E Justice procedures offences,E20 Breaches of orders,E29 Breach of other orders, 874 , 14.8 
2014,December,F Other offences,F10 Regulatory driving offences,F11 Drink driving, 16 , 0.3 
2014,December,F Other offences,F10 Regulatory driving offences,F14 Parking offences, 1 , 0.0 
2014,December,F Other offences,F10 Regulatory driving offences,F15 Licensing offences, 2 , 0.0 
2014,December,F Other offences,F10 Regulatory driving offences,F19 Other regulatory driving offences, 8 , 0.1 
2014,December,F Other offences,F20 Transport regulation offences,F21 Public transport, 106 , 1.8 
2014,December,F Other offences,F20 Transport regulation offences,F22 Aviation regulations offences, 2 , 0.0 
2014,December,F Other offences,F20 Transport regulation offences,F23 Maritime regulations offences, 24 , 0.4 
2014,December,F Other offences,F20 Transport regulation offences,F24 Pedestrian offences, 11 , 0.2 
2014,December,F Other offences,F20 Transport regulation offences,F29 Other transport regulation offences, 107 , 1.8 
2014,December,F Other offences,F30 Other government regulatory offences,F31 Betting and gaming offences, 19 , 0.3 
2014,December,F Other offences,F30 Other government regulatory offences,F32 Commercial regulation offences, 77 , 1.3 
2014,December,F Other offences,F30 Other government regulatory offences,F33 Liquor and tobacco licensing offences, 102 , 1.7 
2014,December,F Other offences,F30 Other government regulatory offences,F34 Pornography and censorship offences, 23 , 0.4 
2014,December,F Other offences,F30 Other government regulatory offences,F35 Intellectual property, 5 , 0.1 
2014,December,F Other offences,F30 Other government regulatory offences,F36 Prostitution offences, 53 , 0.9 
2014,December,F Other offences,F30 Other government regulatory offences,F39 Other government regulatory offences, 39 , 0.7 
2014,December,F Other offences,F90 Miscellaneous offences,F91 Environmental offences, 25 , 0.4 
2014,December,F Other offences,F90 Miscellaneous offences,F92 Public health and safety offences, 56 , 0.9 
2014,December,F Other offences,F90 Miscellaneous offences,F93 Cruelty to animals, 148 , 2.5 
2014,December,F Other offences,F90 Miscellaneous offences,F94 Dangerous substance offences, 9 , 0.2 
2014,December,F Other offences,F90 Miscellaneous offences,F99 Other miscellaneous offences, 29 , 0.5 
2013,December,A Crimes against the person,A10 Homicide and related offences,A11 Murder, 42 , 0.7 
2013,December,A Crimes against the person,A10 Homicide and related offences,A12 Attempted murder, 25 , 0.4 
2013,December,A Crimes against the person,A10 Homicide and related offences,A14 Manslaughter & A13  Accessory/ conspiracy to murder, 20 , 0.3 
2013,December,A Crimes against the person,A10 Homicide and related offences,A15 Driving causing death, 44 , 0.8 
2013,December,A Crimes against the person,A20 Assault and related offences,A211 FV Serious assault," 7,711 ", 133.6 
2013,December,A Crimes against the person,A20 Assault and related offences,A212 Non-FV Serious assault," 9,622 ", 166.7 
2013,December,A Crimes against the person,A20 Assault and related offences,"A22 Assault police, emergency services or other authorised officer"," 1,587 ", 27.5 
2013,December,A Crimes against the person,A20 Assault and related offences,A231 FV Common assault," 7,900 ", 136.9 
2013,December,A Crimes against the person,A20 Assault and related offences,A232 Non-FV Common assault," 6,648 ", 115.2 
2013,December,A Crimes against the person,A30 Sexual offences,A31 Rape," 2,168 ", 37.6 
2013,December,A Crimes against the person,A30 Sexual offences,A32 Indecent assault," 2,468 ", 42.8 
2013,December,A Crimes against the person,A30 Sexual offences,A33 Incest, 172 , 3.0 
2013,December,A Crimes against the person,A30 Sexual offences,A34 Sexual offences against children, 511 , 8.9 
2013,December,A Crimes against the person,A30 Sexual offences,A39 Other sexual offences, 58 , 1.0 
2013,December,A Crimes against the person,A40 Abduction and related offences,A41 Abduction, 137 , 2.4 
2013,December,A Crimes against the person,A40 Abduction and related offences,A42 False imprisonment, 235 , 4.1 
2013,December,A Crimes against the person,A50 Robbery,A51 Aggravated robbery," 1,826 ", 31.6 
2013,December,A Crimes against the person,A50 Robbery,A52 Non-Aggravated robbery, 148 , 2.6 
2013,December,A Crimes against the person,A60 Blackmail and extortion,A61 Blackmail, 89 , 1.5 
2013,December,A Crimes against the person,A60 Blackmail and extortion,A62 Extortion, 43 , 0.7 
2013,December,A Crimes against the person,"A70 Stalking, harassment and threatening behaviour",A711 FV Stalking, 871 , 15.1 
2013,December,A Crimes against the person,"A70 Stalking, harassment and threatening behaviour",A712 Non-FV Stalking, 884 , 15.3 
2013,December,A Crimes against the person,"A70 Stalking, harassment and threatening behaviour",A721 FV Harassment and private nuisance, 246 , 4.3 
2013,December,A Crimes against the person,"A70 Stalking, harassment and threatening behaviour",A722 Non-FV Harassment and private nuisance, 421 , 7.3 
2013,December,A Crimes against the person,"A70 Stalking, harassment and threatening behaviour",A731 FV Threatening behaviour," 1,588 ", 27.5 
2013,December,A Crimes against the person,"A70 Stalking, harassment and threatening behaviour",A732 Non-FV Threatening behaviour," 1,517 ", 26.3 
2013,December,A Crimes against the person,A80 Dangerous and negligent acts endangering people,A81 Dangerous driving, 252 , 4.4 
2013,December,A Crimes against the person,A80 Dangerous and negligent acts endangering people,A82 Neglect or ill treatment of people, 57 , 1.0 
2013,December,A Crimes against the person,A80 Dangerous and negligent acts endangering people,A83 Throw or discharge object endangering people, 585 , 10.1 
2013,December,A Crimes against the person,A80 Dangerous and negligent acts endangering people,A89 Other dangerous or negligent acts endangering people," 1,671 ", 28.9 
2013,December,B Property and deception offences,B10 Arson,B11 Cause damage by fire," 2,905 ", 50.3 
2013,December,B Property and deception offences,B10 Arson,B12 Cause a bushfire, 82 , 1.4 
2013,December,B Property and deception offences,B10 Arson,B19 Other fire related offences, 461 , 8.0 
2013,December,B Property and deception offences,B20 Property damage,B21 Criminal damage," 36,147 ", 626.2 
2013,December,B Property and deception offences,B20 Property damage,B22 Graffiti," 3,225 ", 55.9 
2013,December,B Property and deception offences,B20 Property damage,B29 Other property damage offences, 240 , 4.2 
2013,December,B Property and deception offences,B30 Burglary/Break and enter,B311 Residential aggravated burglary," 2,113 ", 36.6 
2013,December,B Property and deception offences,B30 Burglary/Break and enter,B312 Non-residential aggravated burglary, 84 , 1.5 
2013,December,B Property and deception offences,B30 Burglary/Break and enter,B319 Unknown aggravated burglary, 25 , 0.4 
2013,December,B Property and deception offences,B30 Burglary/Break and enter,B321 Residential non-aggravated burglary," 27,430 ", 475.2 
2013,December,B Property and deception offences,B30 Burglary/Break and enter,B322 Non-residential non-aggravated burglary," 14,029 ", 243.0 
2013,December,B Property and deception offences,B30 Burglary/Break and enter,B329 Unknown non-aggravated burglary, 282 , 4.9 
2013,December,B Property and deception offences,B40 Theft,B41 Motor vehicle theft," 13,006 ", 225.3 
2013,December,B Property and deception offences,B40 Theft,B42 Steal from a motor vehicle," 41,807 ", 724.2 
2013,December,B Property and deception offences,B40 Theft,B43 Steal from a retail store," 20,634 ", 357.4 
2013,December,B Property and deception offences,B40 Theft,B44 Theft of a bicycle," 4,647 ", 80.5 
2013,December,B Property and deception offences,B40 Theft,B45 Receiving or handling stolen goods," 4,513 ", 78.2 
2013,December,B Property and deception offences,B40 Theft,B46 Fare evasion, 90 , 1.6 
2013,December,B Property and deception offences,B40 Theft,B49 Other theft," 39,955 ", 692.1 
2013,December,B Property and deception offences,B50 Deception,B51 Forgery and counterfeiting," 2,062 ", 35.7 
2013,December,B Property and deception offences,B50 Deception,B52 Possess equipment to make false instrument, 3 , 0.1 
2013,December,B Property and deception offences,B50 Deception,B53 Obtain benefit by deception," 13,939 ", 241.5 
2013,December,B Property and deception offences,B50 Deception,B54 State false information, 579 , 10.0 
2013,December,B Property and deception offences,B50 Deception,B55 Deceptive business practices, 12 , 0.2 
2013,December,B Property and deception offences,B50 Deception,B56 Professional malpractice and misrepresentation, 40 , 0.7 
2013,December,B Property and deception offences,B50 Deception,B59 Other deception offences, 26 , 0.5 
2013,December,B Property and deception offences,B60 Bribery,B61 Bribery of officials, 5 , 0.1 
2013,December,C Drug offences,C10 Drug dealing and trafficking,C11 Drug dealing, 6 , 0.1 
2013,December,C Drug offences,C10 Drug dealing and trafficking,C12 Drug trafficking," 2,658 ", 46.0 
2013,December,C Drug offences,C20 Cultivate or manufacture drugs,C21 Cultivate drugs, 780 , 13.5 
2013,December,C Drug offences,C20 Cultivate or manufacture drugs,C23 Possess drug manufacturing equipment or precursor, 341 , 5.9 
2013,December,C Drug offences,C30 Drug use and possession,C31 Drug use, 639 , 11.1 
2013,December,C Drug offences,C30 Drug use and possession,C32 Drug possession," 9,219 ", 159.7 
2013,December,C Drug offences,C90 Other drug offences,C99 Other drug offences, 24 , 0.4 
2013,December,D Public order and security offences,D10 Weapons and explosives offences,D11 Firearms offences," 1,583 ", 27.4 
2013,December,D Public order and security offences,D10 Weapons and explosives offences,D12 Prohibited and controlled weapons offences," 5,222 ", 90.5 
2013,December,D Public order and security offences,D10 Weapons and explosives offences,D13 Explosives offences, 159 , 2.8 
2013,December,D Public order and security offences,D20 Disorderly and offensive conduct,D21 Riot and affray, 305 , 5.3 
2013,December,D Public order and security offences,D20 Disorderly and offensive conduct,D22 Drunk and disorderly in public," 12,694 ", 219.9 
2013,December,D Public order and security offences,D20 Disorderly and offensive conduct,D23 Offensive conduct," 4,434 ", 76.8 
2013,December,D Public order and security offences,D20 Disorderly and offensive conduct,D24 Offensive language, 904 , 15.7 
2013,December,D Public order and security offences,D20 Disorderly and offensive conduct,D25 Criminal intent, 440 , 7.6 
2013,December,D Public order and security offences,D20 Disorderly and offensive conduct,D26 Disorderly conduct, 343 , 5.9 
2013,December,D Public order and security offences,D30 Public nuisance offences,D31 Privacy offences, 33 , 0.6 
2013,December,D Public order and security offences,D30 Public nuisance offences,D32 Hoaxes, 120 , 2.1 
2013,December,D Public order and security offences,D30 Public nuisance offences,D33 Begging, 158 , 2.7 
2013,December,D Public order and security offences,D30 Public nuisance offences,D35 Improper movement on public or private space," 1,025 ", 17.8 
2013,December,D Public order and security offences,D30 Public nuisance offences,D36 Other public nuisance offences, 100 , 1.7 
2013,December,D Public order and security offences,D40 Public security offences,D42 Sabotage, 1 , 0.0 
2013,December,D Public order and security offences,D40 Public security offences,D43 Hacking, 32 , 0.6 
2013,December,D Public order and security offences,D40 Public security offences,D49 Other public security offences, 2 , 0.0 
2013,December,E Justice procedures offences,E10 Justice procedures,E11 Escape custody, 97 , 1.7 
2013,December,E Justice procedures offences,E10 Justice procedures,E12 Fail to appear, 1 , 0.0 
2013,December,E Justice procedures offences,E10 Justice procedures,E13 Resist or hinder officer," 1,064 ", 18.4 
2013,December,E Justice procedures offences,E10 Justice procedures,E14 Pervert the course of justice or commit perjury, 529 , 9.2 
2013,December,E Justice procedures offences,E10 Justice procedures,E15 Prison regulation offences, 579 , 10.0 
2013,December,E Justice procedures offences,E10 Justice procedures,E19 Other justice procedures offences, 855 , 14.8 
2013,December,E Justice procedures offences,E20 Breaches of orders,E21 Breach family violence order," 7,769 ", 134.6 
2013,December,E Justice procedures offences,E20 Breaches of orders,E22 Breach intervention order, 947 , 16.4 
2013,December,E Justice procedures offences,E20 Breaches of orders,E23 Breach bail conditions," 7,228 ", 125.2 
2013,December,E Justice procedures offences,E20 Breaches of orders,E29 Breach of other orders, 678 , 11.7 
2013,December,F Other offences,F10 Regulatory driving offences,F11 Drink driving, 7 , 0.1 
2013,December,F Other offences,F10 Regulatory driving offences,F12 Drug driving, 1 , 0.0 
2013,December,F Other offences,F10 Regulatory driving offences,F15 Licensing offences, 2 , 0.0 
2013,December,F Other offences,F10 Regulatory driving offences,F16 Registration and roadworthiness offences, 2 , 0.0 
2013,December,F Other offences,F10 Regulatory driving offences,F19 Other regulatory driving offences, 5 , 0.1 
2013,December,F Other offences,F20 Transport regulation offences,F21 Public transport, 99 , 1.7 
2013,December,F Other offences,F20 Transport regulation offences,F22 Aviation regulations offences, 1 , 0.0 
2013,December,F Other offences,F20 Transport regulation offences,F23 Maritime regulations offences, 8 , 0.1 
2013,December,F Other offences,F20 Transport regulation offences,F29 Other transport regulation offences, 116 , 2.0 
2013,December,F Other offences,F30 Other government regulatory offences,F31 Betting and gaming offences, 25 , 0.4 
2013,December,F Other offences,F30 Other government regulatory offences,F32 Commercial regulation offences, 85 , 1.5 
2013,December,F Other offences,F30 Other government regulatory offences,F33 Liquor and tobacco licensing offences, 129 , 2.2 
2013,December,F Other offences,F30 Other government regulatory offences,F34 Pornography and censorship offences, 25 , 0.4 
2013,December,F Other offences,F30 Other government regulatory offences,F35 Intellectual property, 10 , 0.2 
2013,December,F Other offences,F30 Other government regulatory offences,F36 Prostitution offences, 84 , 1.5 
2013,December,F Other offences,F30 Other government regulatory offences,F39 Other government regulatory offences, 34 , 0.6 
2013,December,F Other offences,F90 Miscellaneous offences,F91 Environmental offences, 17 , 0.3 
2013,December,F Other offences,F90 Miscellaneous offences,F92 Public health and safety offences, 32 , 0.6 
2013,December,F Other offences,F90 Miscellaneous offences,F93 Cruelty to animals, 132 , 2.3 
2013,December,F Other offences,F90 Miscellaneous offences,F94 Dangerous substance offences, 8 , 0.1 
2013,December,F Other offences,F90 Miscellaneous offences,F99 Other miscellaneous offences, 56 , 1.0 
2012,December,A Crimes against the person,A10 Homicide and related offences,A11 Murder, 46 , 0.8 
2012,December,A Crimes against the person,A10 Homicide and related offences,A12 Attempted murder, 29 , 0.5 
2012,December,A Crimes against the person,A10 Homicide and related offences,A14 Manslaughter & A13  Accessory/ conspiracy to murder, 23 , 0.4 
2012,December,A Crimes against the person,A10 Homicide and related offences,A15 Driving causing death, 62 , 1.1 
2012,December,A Crimes against the person,A20 Assault and related offences,A211 FV Serious assault," 7,037 ", 124.5 
2012,December,A Crimes against the person,A20 Assault and related offences,A212 Non-FV Serious assault," 9,966 ", 176.4 
2012,December,A Crimes against the person,A20 Assault and related offences,"A22 Assault police, emergency services or other authorised officer"," 1,517 ", 26.8 
2012,December,A Crimes against the person,A20 Assault and related offences,A231 FV Common assault," 6,986 ", 123.6 
2012,December,A Crimes against the person,A20 Assault and related offences,A232 Non-FV Common assault," 6,392 ", 113.1 
2012,December,A Crimes against the person,A30 Sexual offences,A31 Rape," 2,125 ", 37.6 
2012,December,A Crimes against the person,A30 Sexual offences,A32 Indecent assault," 2,326 ", 41.2 
2012,December,A Crimes against the person,A30 Sexual offences,A33 Incest, 170 , 3.0 
2012,December,A Crimes against the person,A30 Sexual offences,A34 Sexual offences against children, 433 , 7.7 
2012,December,A Crimes against the person,A30 Sexual offences,A39 Other sexual offences, 41 , 0.7 
2012,December,A Crimes against the person,A40 Abduction and related offences,A41 Abduction, 101 , 1.8 
2012,December,A Crimes against the person,A40 Abduction and related offences,A42 False imprisonment, 228 , 4.0 
2012,December,A Crimes against the person,A50 Robbery,A51 Aggravated robbery," 2,144 ", 37.9 
2012,December,A Crimes against the person,A50 Robbery,A52 Non-Aggravated robbery, 175 , 3.1 
2012,December,A Crimes against the person,A60 Blackmail and extortion,A61 Blackmail, 73 , 1.3 
2012,December,A Crimes against the person,A60 Blackmail and extortion,A62 Extortion, 40 , 0.7 
2012,December,A Crimes against the person,"A70 Stalking, harassment and threatening behaviour",A711 FV Stalking, 616 , 10.9 
2012,December,A Crimes against the person,"A70 Stalking, harassment and threatening behaviour",A712 Non-FV Stalking, 884 , 15.6 
2012,December,A Crimes against the person,"A70 Stalking, harassment and threatening behaviour",A721 FV Harassment and private nuisance, 161 , 2.8 
2012,December,A Crimes against the person,"A70 Stalking, harassment and threatening behaviour",A722 Non-FV Harassment and private nuisance, 335 , 5.9 
2012,December,A Crimes against the person,"A70 Stalking, harassment and threatening behaviour",A731 FV Threatening behaviour," 1,404 ", 24.8 
2012,December,A Crimes against the person,"A70 Stalking, harassment and threatening behaviour",A732 Non-FV Threatening behaviour," 1,497 ", 26.5 
2012,December,A Crimes against the person,A80 Dangerous and negligent acts endangering people,A81 Dangerous driving, 66 , 1.2 
2012,December,A Crimes against the person,A80 Dangerous and negligent acts endangering people,A82 Neglect or ill treatment of people, 55 , 1.0 
2012,December,A Crimes against the person,A80 Dangerous and negligent acts endangering people,A83 Throw or discharge object endangering people, 534 , 9.4 
2012,December,A Crimes against the person,A80 Dangerous and negligent acts endangering people,A89 Other dangerous or negligent acts endangering people," 1,680 ", 29.7 
2012,December,B Property and deception offences,B10 Arson,B11 Cause damage by fire," 3,043 ", 53.8 
2012,December,B Property and deception offences,B10 Arson,B12 Cause a bushfire, 63 , 1.1 
2012,December,B Property and deception offences,B10 Arson,B19 Other fire related offences, 204 , 3.6 
2012,December,B Property and deception offences,B20 Property damage,B21 Criminal damage," 39,345 ", 696.2 
2012,December,B Property and deception offences,B20 Property damage,B22 Graffiti," 3,028 ", 53.6 
2012,December,B Property and deception offences,B20 Property damage,B29 Other property damage offences, 228 , 4.0 
2012,December,B Property and deception offences,B30 Burglary/Break and enter,B311 Residential aggravated burglary," 2,071 ", 36.6 
2012,December,B Property and deception offences,B30 Burglary/Break and enter,B312 Non-residential aggravated burglary, 95 , 1.7 
2012,December,B Property and deception offences,B30 Burglary/Break and enter,B319 Unknown aggravated burglary, 8 , 0.1 
2012,December,B Property and deception offences,B30 Burglary/Break and enter,B321 Residential non-aggravated burglary," 28,998 ", 513.1 
2012,December,B Property and deception offences,B30 Burglary/Break and enter,B322 Non-residential non-aggravated burglary," 14,755 ", 261.1 
2012,December,B Property and deception offences,B30 Burglary/Break and enter,B329 Unknown non-aggravated burglary, 311 , 5.5 
2012,December,B Property and deception offences,B40 Theft,B41 Motor vehicle theft," 14,160 ", 250.6 
2012,December,B Property and deception offences,B40 Theft,B42 Steal from a motor vehicle," 44,316 ", 784.2 
2012,December,B Property and deception offences,B40 Theft,B43 Steal from a retail store," 18,967 ", 335.6 
2012,December,B Property and deception offences,B40 Theft,B44 Theft of a bicycle," 4,178 ", 73.9 
2012,December,B Property and deception offences,B40 Theft,B45 Receiving or handling stolen goods," 4,123 ", 73.0 
2012,December,B Property and deception offences,B40 Theft,B46 Fare evasion, 79 , 1.4 
2012,December,B Property and deception offences,B40 Theft,B49 Other theft," 42,767 ", 756.8 
2012,December,B Property and deception offences,B50 Deception,B51 Forgery and counterfeiting," 1,535 ", 27.2 
2012,December,B Property and deception offences,B50 Deception,B52 Possess equipment to make false instrument, 2 , 0.0 
2012,December,B Property and deception offences,B50 Deception,B53 Obtain benefit by deception," 9,857 ", 174.4 
2012,December,B Property and deception offences,B50 Deception,B54 State false information, 564 , 10.0 
2012,December,B Property and deception offences,B50 Deception,B55 Deceptive business practices, 4 , 0.1 
2012,December,B Property and deception offences,B50 Deception,B56 Professional malpractice and misrepresentation, 46 , 0.8 
2012,December,B Property and deception offences,B50 Deception,B59 Other deception offences, 30 , 0.5 
2012,December,B Property and deception offences,B60 Bribery,B61 Bribery of officials, 8 , 0.1 
2012,December,C Drug offences,C10 Drug dealing and trafficking,C11 Drug dealing, 13 , 0.2 
2012,December,C Drug offences,C10 Drug dealing and trafficking,C12 Drug trafficking," 2,286 ", 40.5 
2012,December,C Drug offences,C20 Cultivate or manufacture drugs,C21 Cultivate drugs, 806 , 14.3 
2012,December,C Drug offences,C20 Cultivate or manufacture drugs,C23 Possess drug manufacturing equipment or precursor, 182 , 3.2 
2012,December,C Drug offences,C30 Drug use and possession,C31 Drug use, 659 , 11.7 
2012,December,C Drug offences,C30 Drug use and possession,C32 Drug possession," 8,423 ", 149.1 
2012,December,C Drug offences,C90 Other drug offences,C99 Other drug offences, 25 , 0.4 
2012,December,D Public order and security offences,D10 Weapons and explosives offences,D11 Firearms offences," 1,288 ", 22.8 
2012,December,D Public order and security offences,D10 Weapons and explosives offences,D12 Prohibited and controlled weapons offences," 4,555 ", 80.6 
2012,December,D Public order and security offences,D10 Weapons and explosives offences,D13 Explosives offences, 178 , 3.1 
2012,December,D Public order and security offences,D20 Disorderly and offensive conduct,D21 Riot and affray, 346 , 6.1 
2012,December,D Public order and security offences,D20 Disorderly and offensive conduct,D22 Drunk and disorderly in public," 13,736 ", 243.1 
2012,December,D Public order and security offences,D20 Disorderly and offensive conduct,D23 Offensive conduct," 4,623 ", 81.8 
2012,December,D Public order and security offences,D20 Disorderly and offensive conduct,D24 Offensive language, 942 , 16.7 
2012,December,D Public order and security offences,D20 Disorderly and offensive conduct,D25 Criminal intent, 433 , 7.7 
